Name,Price,Market price,Location,Thumbnail,Images,Gear,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,VIN Chassis number,Exchange Possible
Toyota Highlander 3.5L 2WD 2013 Green,"₦ 9,500,000",₦ 10.93 M ~ 11.6 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/95365488_NjIwLTgyNy0xOWU3ZmZjY2My.webp,https://pictures-nigeria.jijistatic.com/95365488_MTExLTE0OC0xOWU3ZmZjY2My.webp | https://pictures-nigeria.jijistatic.com/95365489_MTExLTE0OC0wMjExZmNjOWU5.webp | https://pictures-nigeria.jijistatic.com/95365490_MTExLTE0OC04MTNlYTUwOWFl.webp | https://pictures-nigeria.jijistatic.com/95365491_MTExLTE0OC0zOWNiODAwZDA3.webp | https://pictures-nigeria.jijistatic.com/95365492_MTExLTE0OC0xN2UxZjVjNzFi.webp,Automatic,,Bodap Motors,https://jiji.ng/ibadan/cars/toyota-highlander-3-5l-2wd-2013-green-fz1s4rIwzIIn26qHkn4g7VBO.html,No faults,Toyota,Highlander,2013,3.5L 2WD,SUV,Front Wheel,3500           cc,6,270           hp,Green,5,,,
Toyota Venza V6 2009 Black,"₦ 10,100,000,",₦ 8.9 M ~ 9.48 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/116448725_NjIwLTQ2NS0wMzgwZjZiZDZk.webp,https://pictures-nigeria.jijistatic.com/116448725_MTExLTgzLTAzODBmNmJkNmQ.webp | https://pictures-nigeria.jijistatic.com/116448732_MTExLTgzLTJmYTU0MmM2M2U.webp | https://pictures-nigeria.jijistatic.com/116448749_MTExLTgzLTFiMjc1NTVhZGE.webp | https://pictures-nigeria.jijistatic.com/116448736_MTExLTgzLTBjMmQ4ZWJlNzg.webp | https://pictures-nigeria.jijistatic.com/116448750_MTExLTgzLWIyZDUzNjZiMWE.webp,Automatic,,Ebhotemen Promise Moses,https://jiji.ng/lekki/cars/toyota-venza-v6-2009-black-resD4RoDkJd1cmJXvaKWx3vv.html,No faults,Toyota,Venza,2009,V6,Crossover,Front Wheel,3500           cc,6,273           hp,Black,5,No,,
Toyota Land Cruiser Prado 4.0 I 2013 Black,"₦ 13,000,000",₦ 15.65 M ~ 16.5 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/117232518_NjIwLTQ2NS1kMTYwYWI5ZTE4.webp,https://pictures-nigeria.jijistatic.com/117232518_MTExLTgzLWQxNjBhYjllMTg.webp | https://pictures-nigeria.jijistatic.com/117232511_MTExLTgzLWFmZGZkZGJlYTQ.webp | https://pictures-nigeria.jijistatic.com/117232519_MTExLTgzLWUwMjU5YTdhYzk.webp | https://pictures-nigeria.jijistatic.com/117232510_MTExLTgzLTQ4Yzk1ZjczZjE.webp | https://pictures-nigeria.jijistatic.com/117232517_MTExLTgzLWU4NTk3OTI0YTU.webp,Automatic,,Pijamin Auto & Services,https://jiji.ng/ikeja/cars/toyota-land-cruiser-prado-4-0-i-2013-black-aNnqqb0N9hRRWipuUHIRI2b.html,"Original parts, Unpainted",Toyota,Land Cruiser Prado,2013,4.0 i,SUV,All Wheel,4000           cc,6,282           hp,Black,5,,,
Hyundai Grandeur 2012 Silver,"₦ 6,050,000",,"Lagos, Ojo",https://pictures-nigeria.jijistatic.com/109519627_NjIwLTQ2NS1jY2M5YzE1MWE3.webp,https://pictures-nigeria.jijistatic.com/109519627_MTExLTgzLWNjYzljMTUxYTc.webp | https://pictures-nigeria.jijistatic.com/109519615_MTExLTgzLTYyZjYxODhlYmI.webp | https://pictures-nigeria.jijistatic.com/109519620_MTExLTgzLWZkZTRjM2ZiODg.webp | https://pictures-nigeria.jijistatic.com/109519616_MTExLTgzLThiNDVkZjk1MGY.webp | https://pictures-nigeria.jijistatic.com/109519623_MTExLTgzLWRjOWJjYjg3NTU.webp,Automatic,,Ajiboro Remi Emeka,https://jiji.ng/ojo/cars/hyundai-grandeur-2012-silver-hMLFXzkgqlaFIygh90izR3j4.html,No faults,Hyundai,Grandeur,2012,,,,,,,Silver,,,,
Toyota Camry 2019 Silver,"₦ 15,500,000,",₦ 16 M ~ 17.5 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/117215857_NjIwLTQ2NS1jOGExNGQ2NzY5.webp,https://pictures-nigeria.jijistatic.com/117215857_MTExLTgzLWM4YTE0ZDY3Njk.webp | https://pictures-nigeria.jijistatic.com/117216090_MTExLTc4LWJmODkzZTU0ZWE.webp | https://pictures-nigeria.jijistatic.com/117215858_MTExLTgzLTA2NTEwNTI3N2U.webp | https://pictures-nigeria.jijistatic.com/117215859_MTExLTgzLTA2ZDE4NTk4NTU.webp | https://pictures-nigeria.jijistatic.com/117215856_MTExLTgzLTU1Nzc3OTg1MjA.webp,Automatic,,Emmanuel Asibor,https://jiji.ng/gwarinpa/cars/toyota-camry-2019-silver-4aZMUvqEsQViXnYfoiI2EKpn.html,No faults,Toyota,Camry,2019,,,,,,,Silver,,No,,
Lexus RX 2006 Gray,"₦ 5,700,000,",₦ 3.98 M ~ 4.4 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/117178695_NjIwLTQ2NS04OWIxOTFlN2Uw.webp,https://pictures-nigeria.jijistatic.com/117178695_MTExLTgzLTg5YjE5MWU3ZTA.webp | https://pictures-nigeria.jijistatic.com/117178696_MTExLTgzLTk0NTZhMGE1MTY.webp | https://pictures-nigeria.jijistatic.com/117180624_MTExLTYyLWVkNGFjNjBkMWQ.webp | https://pictures-nigeria.jijistatic.com/117178701_MTExLTgzLTVlODJjZWU2N2Q.webp | https://pictures-nigeria.jijistatic.com/117180626_MTExLTYyLTUzMTM1ZTY4NjM.webp,Automatic,,Tiwa Global,https://jiji.ng/lagos-abule-egba/cars/lexus-rx-2006-gray-dr1g52afXNAZtDmYGaumJuGZ.html,"First registration, No faults, Unpainted",Lexus,RX,2006,,,,,,,Gray,,Yes,,
Mazda CX-9 Touring AWD 2008 Black,"₦ 5,700,000,",₦ 4.94 M ~ 5.16 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/116858581_NjIwLTU2NS1mMDUzYWFlMGMz.webp,https://pictures-nigeria.jijistatic.com/116858581_MTExLTEwMS1mMDUzYWFlMGMz.webp | https://pictures-nigeria.jijistatic.com/116858591_MTExLTEwNy0yOTdjMzM4NDk0.webp | https://pictures-nigeria.jijistatic.com/116858593_MTExLTEwOC04MGU5MWQ2MzZi.webp | https://pictures-nigeria.jijistatic.com/116858592_MTExLTEwMi0wMTc5YmIyNWNk.webp | https://pictures-nigeria.jijistatic.com/116858595_MTExLTExNC0zYjE3ODYxYjM0.webp,Automatic,,H.O.T. GLOBAL SERVICES,https://jiji.ng/ikeja/cars/mazda-cx-9-touring-awd-2008-black-yr0e8xIQ19uvvvDTUb3OYyK6.html,"No faults, Unpainted, Original parts",Mazda,CX-9,2008,Touring AWD,SUV,All Wheel,3700           cc,6,274           hp,Black,7,No,,
Mercedes-Benz M Class ML 350 4Matic 2010 Black,"₦ 4,500,000",₦ 5.49 M ~ 5.96 M,"Delta, Warri",https://pictures-nigeria.jijistatic.com/117200829_NjIwLTgyNy1iZmIxODBhZDZi.webp,https://pictures-nigeria.jijistatic.com/117200829_MTExLTE0OC1iZmIxODBhZDZi.webp | https://pictures-nigeria.jijistatic.com/117211553_MTExLTYyLWJkMmEwOGUyNTk.webp | https://pictures-nigeria.jijistatic.com/117199130_MTExLTE0OC1mMTRlODhlNzdk.webp | https://pictures-nigeria.jijistatic.com/117199131_MTExLTE5Ny0wNzY2MjNkNjcx.webp | https://pictures-nigeria.jijistatic.com/117200828_MTExLTE0OC05NGQ0YWFjODcx.webp,Automatic,Sunroof | Air Conditioning | Leather Seats | AM/FM Radio,Cepsmart Solar,https://jiji.ng/warri-south/cars/mercedes-benz-m-class-ml-350-4matic-2010-black-9Xrrix1HkfLs6udwPisytnqQ.html,No faults,Mercedes-Benz,M Class,2010,ML 350 4Matic,SUV,All Wheel,3500           cc,6,268           hp,Black,5,Yes,,
Toyota Corolla 2012 Silver,"₦ 4,100,000,",₦ 3.5 M ~ 3.62 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/111683510_NjIwLTgyNy1iNmNkMjUwNDdl.webp,https://pictures-nigeria.jijistatic.com/111683510_MTExLTE0OC1iNmNkMjUwNDdl.webp | https://pictures-nigeria.jijistatic.com/111683507_MTExLTE0OC0yMmY5NTY5YzM1.webp | https://pictures-nigeria.jijistatic.com/111683509_MTExLTE0OC03YTQxY2ZiN2Vj.webp | https://pictures-nigeria.jijistatic.com/111683514_MTExLTE0OC01YTA1Njk5NzZh.webp | https://pictures-nigeria.jijistatic.com/111683516_MTExLTE0OC1iNDhhMWQ5ODc2.webp,Automatic,Cup Holders | Front Fog Lamps | AM/FM Radio | Alloy Wheels | Anti-Lock Brakes | Armrests | Electric Mirrors | Air Conditioning | Airbags | CD Player | Electric Windows,Obatoye Ayodeji,https://jiji.ng/ikeja/cars/toyota-corolla-2012-silver-dKsqlZisojjC59HyPPcgsxLc.html,"First owner, No faults, First registration",Toyota,Corolla,2012,LE 4dr Sedan (1.8L 4cyl 4A),Sedan,Front,1800           cc,4,132           hp,Silver,5,Yes,5TJBK3EH3C8******,No
Nissan Murano SL 2011 Gold,"₦ 2,000,000",,"Delta, Warri",https://pictures-nigeria.jijistatic.com/117118121_NjIwLTgyNy04MmQyY2Q1OGZk.webp,https://pictures-nigeria.jijistatic.com/117118121_MTExLTE0OC04MmQyY2Q1OGZk.webp | https://pictures-nigeria.jijistatic.com/117118141_MTExLTE0OC1hOGFlNzhmOWQw.webp | https://pictures-nigeria.jijistatic.com/117118184_MTExLTE0OC03ZTI3YWI0MzMx.webp | https://pictures-nigeria.jijistatic.com/117118218_MTExLTE0OC1lZDY5ODgwNjg1.webp | https://pictures-nigeria.jijistatic.com/117229930_MTExLTE0OC05OWIzM2NmYTYz.webp,Automatic,Cruise Control | AM/FM Radio | Electric Mirrors | Leather Seats | Front Fog Lamps | Cup Holders | Air Conditioning | LED Headlights | Electric Windows | Alloy Wheels | Armrests | Airbags | Parking Assist | CD Player | Anti-Lock Brakes | Xenon Lights,Harry Esheti,https://jiji.ng/warri-south/cars/nissan-murano-sl-2011-gold-sq63NSMkVivZOMOJ2yIW1I1B.html,No faults,Nissan,Murano,2011,SL,Crossover,Front Wheel,3500           cc,6,264           hp,Gold,5,Yes,,Yes
Lexus ES 350 2011 Black,"₦ 5,800,000",₦ 6.8 M ~ 7.05 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/117176387_NjIwLTU3OS1kYzE1NTJhNmIx.webp,https://pictures-nigeria.jijistatic.com/117176387_MTExLTEwNC1kYzE1NTJhNmIx.webp | https://pictures-nigeria.jijistatic.com/117176388_MTExLTk4LWVjYzYxY2ZhOWE.webp | https://pictures-nigeria.jijistatic.com/117176401_MTExLTk5LWIyZTNkZDQxMzU.webp | https://pictures-nigeria.jijistatic.com/117176400_MTExLTk4LWNkYzM5NWM0MDE.webp | https://pictures-nigeria.jijistatic.com/117176389_MTExLTE0OC1mNWJhNDNjZDgy.webp,Automatic,,Mudijay,https://jiji.ng/isolo/cars/lexus-es-350-2011-black-5gSEmHC2HHCRhPdMEWyiEJt7.html,Original parts,Lexus,ES,2011,350,Sedan,Front,,6,,Black,5,No,,
Lexus ES 330 2005 White,"₦ 4,000,000,",₦ 4.33 M ~ 4.5 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/117212387_NjIwLTgyNy05OTM5MTVhM2Vj.webp,https://pictures-nigeria.jijistatic.com/117212387_MTExLTE0OC05OTM5MTVhM2Vj.webp | https://pictures-nigeria.jijistatic.com/117212388_MTExLTgzLTc3MWI5ZmE0YTk.webp | https://pictures-nigeria.jijistatic.com/117212393_MTExLTgzLTJmOGVjY2JlZjk.webp | https://pictures-nigeria.jijistatic.com/117212394_MTExLTgzLTZjMWIyOGJkOGI.webp | https://pictures-nigeria.jijistatic.com/117212395_MTExLTgzLTZiMmQxMzE5OTI.webp,Automatic,,Offor Chris Mereze,https://jiji.ng/lekki/cars/lexus-es-330-2005-white-rR7doOGJE3ZGwlYMRpenixmU.html,No faults,Lexus,ES,2005,330,Sedan,Front,,6,,White,5,No,,
Lexus RX 350 2010 Black,"₦ 7,800,000,",₦ 7.9 M ~ 8.23 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/115028787_NjIwLTgyNy1lY2RkZDc0NWRk.webp,https://pictures-nigeria.jijistatic.com/115028787_MTExLTE0OC1lY2RkZDc0NWRk.webp | https://pictures-nigeria.jijistatic.com/115028789_MTExLTE0OC1kNDBlN2M5MDU4.webp | https://pictures-nigeria.jijistatic.com/115028788_MTExLTgzLTM0N2UxMDUzZTQ.webp | https://pictures-nigeria.jijistatic.com/115028822_MTExLTE0OC1hNDc3NGJhM2Zl.webp | https://pictures-nigeria.jijistatic.com/115029176_MTExLTExMS03YTJlNDlhMjMy.webp,Automatic,Alloy Wheels | Airbags | Air Conditioning | AM/FM Radio | CD Player,Samuel Uzah,https://jiji.ng/port-harcourt/cars/lexus-rx-350-2010-black-wdgmFHveEtYsYjEfHI3EOpo.html,No faults,Lexus,RX 350,2010,,,,,,,Black,,Yes,,No
Hyundai Sonata 2016 White,"₦ 8,500,000,",₦ 7.5 M ~ 7.8 M,"Osun, Osogbo",https://pictures-nigeria.jijistatic.com/116353491_NjIwLTgyNy00NmFhODBhYTc0.webp,https://pictures-nigeria.jijistatic.com/116353491_MTExLTE0OC00NmFhODBhYTc0.webp | https://pictures-nigeria.jijistatic.com/116353490_MTExLTgzLWE1MGNjMDcxMmI.webp | https://pictures-nigeria.jijistatic.com/116353493_MTExLTE0OC01MWJjM2Q5NzI3.webp | https://pictures-nigeria.jijistatic.com/116353492_MTExLTE0OC0wYTM5ZWMwMzVk.webp | https://pictures-nigeria.jijistatic.com/116353495_MTExLTE0OC01Mjk3MDQwMWEz.webp,Automatic,,Oladeru Samuel,https://jiji.ng/osogbo/cars/hyundai-sonata-2016-white-pVliFKPZEh7WqJAJvbfdeSJT.html,"No faults, Unpainted, Original parts",Hyundai,Sonata,2016,,,,,,,White,,No,,
Toyota Corolla 1999 Blue,"₦ 1,450,000,",₦ 1.02 M ~ 1.1 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/117163139_NjIwLTYyMC1hMzVjOTMyZmQ1.webp,https://pictures-nigeria.jijistatic.com/117163139_MTExLTExMS1hMzVjOTMyZmQ1.webp | https://pictures-nigeria.jijistatic.com/117163119_MTExLTExMS0wMjYyNzcyNWMy.webp | https://pictures-nigeria.jijistatic.com/117163122_MTExLTExMS0wODQxMDQ4ZmRk.webp | https://pictures-nigeria.jijistatic.com/117163133_MTExLTExMS0yMTZlODc1YWQ4.webp | https://pictures-nigeria.jijistatic.com/117163135_MTExLTExMS0yOTNlM2NiZjc2.webp,Automatic,CD Player | Alloy Wheels | Airbags | AM/FM Radio | Air Conditioning,brizol technical ltd,https://jiji.ng/ibadan/cars/toyota-corolla-2000-blue-lgdQbMjeMAO5kVpCVwb1vZKQ.html,No faults,Toyota,Corolla,1999,,,,,,,Blue,,Yes,2T1BR12E1WC******,No
Mercedes-Benz C240 2006 Silver,"₦ 3,600,000",,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/114999399_NjIwLTQ2NS04MjI4YTVkZmI2.webp,https://pictures-nigeria.jijistatic.com/114999399_MTExLTgzLTgyMjhhNWRmYjY.webp | https://pictures-nigeria.jijistatic.com/114999395_MTExLTgzLWRlNzg4ZjM0NzM.webp | https://pictures-nigeria.jijistatic.com/114999396_MTExLTgzLWQwZjYzOGY1NWI.webp | https://pictures-nigeria.jijistatic.com/114999401_MTExLTgzLTU3ODFlNTAzNjQ.webp | https://pictures-nigeria.jijistatic.com/114999400_MTExLTgzLWRiMjgyNzJjMjE.webp,Automatic,,Ifeakanwa Joseph,https://jiji.ng/surulere/cars/mercedes-benz-c240-2006-silver-xpAeDTwhFhTi17X02PVAp1F3.html,"No faults, Unpainted",Mercedes-Benz,C240,2006,,,,,,,Silver,,No,,
New Mercedes-Benz GLS-Class GLS450 4MATIC 2019 White,"₦ 95,000,000",,"Abuja, Jabi",https://pictures-nigeria.jijistatic.com/92834660_NjIwLTQ2NS05MTY1OTI3NDE1.webp,https://pictures-nigeria.jijistatic.com/92834660_MTExLTgzLTkxNjU5Mjc0MTU.webp | https://pictures-nigeria.jijistatic.com/92834662_MTExLTgzLTIzMDk1MmVkYWU.webp | https://pictures-nigeria.jijistatic.com/92834768_MTExLTgzLWQ0NWU4ZGY4M2Y.webp | https://pictures-nigeria.jijistatic.com/92834655_MTExLTgzLTg3NDdmNTE1Y2Q.webp | https://pictures-nigeria.jijistatic.com/92834659_MTExLTgzLWY3MmQ4ZDZhYjk.webp,Automatic,,AK AUTOS EMPIRE,https://jiji.ng/jabi/cars/new-mercedes-benz-gls-class-gls450-4matic-2019-white-v2hejRzWTHhbw3F6Wrc6sXNQ.html,No faults,Mercedes-Benz,GLS-Class,2019,GLS450 4MATIC,SUV,All Wheel,3000           cc,6,362           hp,White,7,No,,
Toyota Venza 2015 Silver,"₦ 9,000,000",,"Delta, Warri",https://pictures-nigeria.jijistatic.com/117163572_NjIwLTM0OC00YmMxNTQ0YmU2.webp,https://pictures-nigeria.jijistatic.com/117163572_MTExLTYyLTRiYzE1NDRiZTY.webp | https://pictures-nigeria.jijistatic.com/117163571_MTExLTYyLTc5OTUzOGM5ZDE.webp | https://pictures-nigeria.jijistatic.com/117163569_MTExLTYyLTFhMzQ5NjY4MDU.webp | https://pictures-nigeria.jijistatic.com/117163575_MTExLTYyLWM4OWVlZmEwNTI.webp | https://pictures-nigeria.jijistatic.com/117163578_MTExLTYyLTg0MDk1ODM0NmI.webp,Automatic,,Dozie Samson,https://jiji.ng/warri-south/cars/toyota-venza-2015-silver-hiYqRPBvJbMOMqV7wxqquHk5.html,"First owner, No faults",Toyota,Venza,2015,Limited 4dr Wagon AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,268           hp,Silver,5,,,
Land Rover Range Rover 2015 Black,"₦ 22,000,000",₦ 30.7 M ~ 34.99 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/90100756_NjIwLTgyNy0zZGIxYWEyNzc2.webp,https://pictures-nigeria.jijistatic.com/90100756_MTExLTE0OC0zZGIxYWEyNzc2.webp | https://pictures-nigeria.jijistatic.com/90100793_MTExLTgzLTEzMTc2NWEwYzA.webp | https://pictures-nigeria.jijistatic.com/90100809_MTExLTgzLTk4YTI5ZWQ2MTQ.webp | https://pictures-nigeria.jijistatic.com/90100837_MTExLTgzLWEzNzA0MzI0MWQ.webp | https://pictures-nigeria.jijistatic.com/90100841_MTExLTgzLWIxMDc2NjMwMGM.webp,Automatic,,Ernest Onoja,https://jiji.ng/gwarinpa/cars/land-rover-range-rover-2015-black-2WvKphCRAFAtjaRZ4UeKRTOH.html,No faults,Land Rover,Range Rover,2015,,,,,,,Black,,No,,
Toyota Highlander XLE V6 4x4 (3.5L 6cyl 6A) 2016 Gray,"₦ 15,200,000,",₦ 13.56 M ~ 14.44 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/115940463_NjIwLTQ2NS1lNDMyMzg3NWI5.webp,https://pictures-nigeria.jijistatic.com/115940463_MTExLTgzLWU0MzIzODc1Yjk.webp | https://pictures-nigeria.jijistatic.com/115940452_MTExLTgzLWY0YTQxNjVkOWQ.webp | https://pictures-nigeria.jijistatic.com/115940467_MTExLTgzLTMzNjY2M2EzOWU.webp | https://pictures-nigeria.jijistatic.com/115940456_MTExLTgzLTEwZTcxZDhmMWU.webp | https://pictures-nigeria.jijistatic.com/115940465_MTExLTgzLWIxYTQ2ODhmNDk.webp,Automatic,,Mos Autos,https://jiji.ng/gwarinpa/cars/toyota-highlander-xle-v6-4x4-3-5l-6cyl-6a-2016-gray-BQbvWbO3z819DMNvCT5WMxoV.html,No faults,Toyota,Highlander,2016,XLE V6 4x4 (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,270           hp,Gray,7,Yes,,
Mercedes-Benz GLE-Class 2021 Gray,"₦ 125,000,000",₦ 96.55 M ~ 110 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/115285266_NjIwLTYyMC05ZmE1N2QxMmZk.webp,https://pictures-nigeria.jijistatic.com/115285266_MTExLTExMS05ZmE1N2QxMmZk.webp | https://pictures-nigeria.jijistatic.com/115285268_MTExLTgzLTk5Y2I2YTZkMjU.webp | https://pictures-nigeria.jijistatic.com/115285267_MTExLTE0OC1iMGRkZTQ5MGEy.webp | https://pictures-nigeria.jijistatic.com/115285269_MTExLTgzLWY2MGQ4Mjg4MWI.webp | https://pictures-nigeria.jijistatic.com/115285270_MTExLTgzLTViZGQ0OGFjNmE.webp,Automatic,Electric Windows | Sidesteps | Leather Seats | Anti-Lock Brakes | Xenon Lights | Front Fog Lamps | Winch | Bullbar | Blind Spot Monitor | Parking Sensors | Sunroof | Cup Holders | Air Conditioning | Android Auto | Airbags | Parking Assist | Electric Mirrors | Roof Rack | LED Headlights | Alloy Wheels | Cruise Control | CD Player | AM/FM Radio | Spotlight | Traction Control | Armrests | CarPlay,Abeesal Trading Pvt,https://jiji.ng/lekki/cars/mercedes-benz-gle-class-2021-gray-xkQ5kAor8eVH4STsHHbd0Oqz.html,"No faults, Unpainted, Original parts",Mercedes-Benz,GLE-Class,2021,,,,,,,Gray,,No,,No
Toyota Tundra 2015 Gray,"₦ 52,500,000",₦ 20.85 M ~ 24 M,"Abuja, Jabi",https://pictures-nigeria.jijistatic.com/105546585_NjIwLTQ2NS1hODRjNWRjNTcx.webp,https://pictures-nigeria.jijistatic.com/105546585_MTExLTgzLWE4NGM1ZGM1NzE.webp | https://pictures-nigeria.jijistatic.com/105546589_MTExLTgzLTYyMDgyNTljOWM.webp | https://pictures-nigeria.jijistatic.com/105546590_MTExLTgzLTA4N2I4NzQ2YmM.webp | https://pictures-nigeria.jijistatic.com/105546591_MTExLTgzLWVkZjBjYWY5MzA.webp | https://pictures-nigeria.jijistatic.com/105546592_MTExLTgzLWI0NGU0ZTM2ZDE.webp,Automatic,,Henry Magege,https://jiji.ng/jabi/cars/toyota-tundra-2015-gray-sg1dH9TO9k3O9Jto8f5Qm7hx.html,No faults,Toyota,Tundra,2015,,,,,,,Gray,,No,,
Lexus GX 460 Luxury 2017 Gray,"₦ 27,500,000",,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/113183355_NjIwLTgyNy03YjYzM2FmNDAw.webp,https://pictures-nigeria.jijistatic.com/113183355_MTExLTE0OC03YjYzM2FmNDAw.webp | https://pictures-nigeria.jijistatic.com/113183357_MTExLTE0OC1jYWIyYWVmNDg4.webp | https://pictures-nigeria.jijistatic.com/113183356_MTExLTE0OC04MzhjYmIwZTVm.webp | https://pictures-nigeria.jijistatic.com/112681423_MTExLTE0OC1kMjg0Y2EyMzQz.webp | https://pictures-nigeria.jijistatic.com/112681420_MTExLTE0OC1jYWE4ODk3NDEw.webp,Automatic,,lanpets,https://jiji.ng/magodo/cars/lexus-gx-460-luxury-2017-gray-zoJPTtWu1qZ96R184GwpsrTX.html,No faults,Lexus,GX,2017,460 Luxury,SUV,4x4,4600           cc,8,301           hp,Gray,7,,,
Toyota Highlander 2007 Red,"₦ 5,850,000,",₦ 5.7 M ~ 5.9 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/116454439_NjIwLTgyNy0yZGE4MmE1NDE4.webp,https://pictures-nigeria.jijistatic.com/116454439_MTExLTE0OC0yZGE4MmE1NDE4.webp | https://pictures-nigeria.jijistatic.com/116454442_MTExLTE0OC0zNDhmMjZjMTdk.webp | https://pictures-nigeria.jijistatic.com/116454438_MTExLTE0OC02OGU2YmRhNzVl.webp | https://pictures-nigeria.jijistatic.com/116454431_MTExLTE0OC02MTI2MjkyM2Fm.webp | https://pictures-nigeria.jijistatic.com/116454429_MTExLTE0OC1kZmQyNWEzYWRm.webp,Automatic,,Amadoz Cars,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-2007-red-BbIaQlovJkXX7oOWy4OkZn44.html,No faults,Toyota,Highlander,2007,,,,,,,Red,,No,,
Toyota Avalon 2015 Gray,"₦ 10,500,000",₦ 9.9 M ~ 10.92 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/109654856_NjIwLTQ2NS1kODI1MjVhZDg0LTE.webp,https://pictures-nigeria.jijistatic.com/109654856_MTExLTgzLWQ4MjUyNWFkODQtMQ.webp | https://pictures-nigeria.jijistatic.com/109654858_MTExLTgzLWNmNjQxZmI5MzMtMQ.webp | https://pictures-nigeria.jijistatic.com/109654861_MTExLTE0OC03MTQwYTM1ZTY0LTE.webp | https://pictures-nigeria.jijistatic.com/109654860_MTExLTgzLTE0YzZmNjE3ZmItMQ.webp | https://pictures-nigeria.jijistatic.com/109654862_MTExLTgzLTI1ZTJjMDE5NzktMQ.webp,Automatic,,Don Madukings Motors,https://jiji.ng/port-harcourt/cars/toyota-avalon-2015-gray-6AkrZxCqGf1JZvoQA7uSzG2y.html,"No faults, Unpainted",Toyota,Avalon,2015,XLE 4dr Sedan (3.5L 6cyl 6A),Sedan,Front Wheel,3500           cc,6,268           hp,Gray,5,No,,
Toyota Venza 2011 White,"₦ 9,400,000,",₦ 9.2 M ~ 9.57 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/116815682_NjIwLTQ2NS0yNWIwNjliMzRm.webp,https://pictures-nigeria.jijistatic.com/116815682_MTExLTgzLTI1YjA2OWIzNGY.webp | https://pictures-nigeria.jijistatic.com/116815680_MTExLTExMS1kZGQ5ODliOWI3.webp | https://pictures-nigeria.jijistatic.com/116815681_MTExLTgzLTUxZjc4NjRlYzU.webp | https://pictures-nigeria.jijistatic.com/116815679_MTExLTgzLTJhNDFiN2YwYjA.webp | https://pictures-nigeria.jijistatic.com/116815683_MTExLTgzLWQ0NWZiNmQ3NmQ.webp,Automatic,,Segun Bakare Autos,https://jiji.ng/lagos-abule-egba/cars/toyota-venza-2011-white-k3kUVJ7awhz4CYpQp6ZmCNkB.html,"No faults, Unpainted, Original parts",Toyota,Venza,2011,,,,,,,White,,,,
Mercedes-Benz M Class 2006 Silver,"₦ 3,900,000",₦ 3.8 M ~ 4.12 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/116446891_NjIwLTgyNy1kOWViNWQwYzEz.webp,https://pictures-nigeria.jijistatic.com/116446891_MTExLTE0OC1kOWViNWQwYzEz.webp | https://pictures-nigeria.jijistatic.com/116446892_MTExLTE0OC00OWY4NjIyZjky.webp | https://pictures-nigeria.jijistatic.com/116446889_MTExLTE0OC00MGM4MmZmNTc0.webp | https://pictures-nigeria.jijistatic.com/116446890_MTExLTE0OC0yMGZjN2IyMGVj.webp | https://pictures-nigeria.jijistatic.com/116446875_MTExLTE0OC01ZmE3YWVhODM4.webp,Automatic,,Gods Will Intercontinental Ltd,https://jiji.ng/alimosho/cars/mercedes-benz-m-class-2006-silver-8i4e9kvsEstLLN6K25wvyU1T.html,No faults,Mercedes-Benz,M Class,2006,,,,,,,Silver,,Yes,,
